Event{id=231, msg=User John Doe is ready, date=Jan 13, 2018 10:53:38 PM}
Event{id=578, msg=User 2 is ready, date=Jan 13, 2018 10:53:39 PM}
Event{id=318, msg=User 3 is ready, date=Jan 13, 2018 10:53:39 PM}
Event{id=294, msg=User John Doe is ready, date=Jan 13, 2018 10:55:03 PM}
Event{id=27, msg=User 2 is ready, date=Jan 13, 2018 10:55:04 PM}
Event{id=256, msg=User 3 is ready, date=Jan 13, 2018 10:55:04 PM}
Event{id=447, msg=User John Doe is ready, date=Jan 13, 2018 11:07:23 PM}
Event{id=766, msg=User 2 is ready, date=Jan 13, 2018 11:07:24 PM}
Event{id=453, msg=User 3 is ready, date=Jan 13, 2018 11:07:24 PM}
Event{id=800, msg=User John Doe is ready, date=Jan 13, 2018 11:07:31 PM}
Event{id=811, msg=User 2 is ready, date=Jan 13, 2018 11:07:32 PM}
Event{id=971, msg=User 3 is ready, date=Jan 13, 2018 11:07:32 PM}
